feature,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
boltz_B_hs_engaged,1,0.8219393832693458,0.6008424322289156,0.5307892730045755,0.5938501523964378,0.5869855415506602,0.4731942215088282
esmfold_ptm_middle_glycine_linker,1,0.8215496026046155,0.6324131375820656,0.5739368556701032,0.6129954475765039,0.5959466680456442,0.5460191264811592
esmfold_ipae_start_glycine_linker,1,0.8212898592358517,0.5762626574735374,0.6909364261168385,0.6183041560360075,0.6074266556348468,0.49050661044717364
esmfold_start_A_B_ipSAE_max,1,0.8211950588911231,0.5806164458138008,0.622852233676976,0.5774750676095216,0.562342710380253,0.5297057366743292
esmfold_end_C_A_ipSAE_d0chn_max,1,0.8209245427559132,0.5518761458305745,0.5502577319587629,0.5462819912953659,0.5425069810735339,0.49994284915988263
esmfold_end_C_A_ipSAE_max,1,0.8209238245714833,0.5518658462299048,0.5502577319587629,0.5462775771807933,0.5424969260293493,0.4999682495332682
esmfold_start_glycine_linker_A_C_pdockq_max,1,0.8206841903667528,0.5838107933929534,0.5174774484536082,0.5705419649872431,0.5611404143827351,0.5301121426484969
esmfold_start_glycine_linker_A_C_pdockq,1,0.8206841903667528,0.5838107933929534,0.5174774484536082,0.5705419649872431,0.5611404143827351,0.5301121426484969
esmfold_start_A_B_lis_score_max,1,0.8203234223882025,0.604183403517755,0.6350676546391754,0.5923874180078218,0.5786304455246435,0.5191709318126976
boltz_rosetta_A_C_nres_int,1,0.8202761193184684,0.5816971009036145,0.481888662938485,0.5940996996016661,0.5818065800004326,0.4493178170144463
boltz_rosetta_A_C_dSASA_int,1,0.819739715407353,0.5867689508032128,0.536349771225216,0.5977518778819564,0.583944910187042,0.43917201712145537
esmfold_binder_below_membrane_start,1,0.8197335535765584,0.5962703674603245,0.5862328178694157,0.5847259864810385,0.5845011548936464,0.5279023101639594
boltz_rosetta_A_C_dSASA_hphobic,1,0.8196941571097199,0.5811511671686747,0.5275165226232842,0.5938642777099414,0.582361248018491,0.45074237560192615
boltz_rosetta_A_B_dSASA_polar,1,0.8194375377722045,0.5834886420682731,0.5049885612608032,0.5848711614460556,0.5781618394583721,0.4896869983948636
boltz_A_B_pdockq2_max,1,0.818951929522168,0.5555030766378573,0.6502094072164948,0.557615966146684,0.536504119695246,0.5517532607729334
boltz_A_B_pdockq2,1,0.8189217657761181,0.5565830633366585,0.6502631013745703,0.5591211792159944,0.5384964548787075,0.5494291266081611
num_disulfide_within_chain,1,0.8188920808196879,0.5810313725836401,0.679150558419244,0.5679567652191313,0.5655675066937864,0.5390594241735354
esmfold_end_C_B_ipSAE_d0chn,1,0.8187812410226946,0.5359250071361519,0.5420962199312716,0.5404229898857921,0.5323542593167166,0.5214696656040844
boltz_rosetta_A_C_dG_separated,1,0.8187080902270503,0.5764824924698795,0.45729537366548034,0.5839812666953358,0.5732300837100647,0.4510299625468165
boltz_rosetta_hbonds_int,1,0.8185106709373066,0.5793972766064257,0.4869089984748347,0.5858536554741868,0.5688143700732656,0.5114700374531835
