feature_combo,n_features,n_dna_detected,n_leah_detected,n_3class,auc_dna_detected,auc_leah_detected,auc_3class_avg,auc_3class_down,auc_3class_notsig,auc_3class_up
boltz_rosetta_A_B_dSASA_int,1,12000,11796,6811,0.522744084069708,0.6078036340706159,0.5310632218440947,0.5342856754331095,0.5220818445818707,0.536822145517304
boltz_rosetta_A_B_dSASA_polar,1,12000,11796,6811,0.5132219130446346,0.6116114751536947,0.5298849092624506,0.5352983038247799,0.5206275268264622,0.5337288971361095
esmfold_end_C_B_ipSAE_d0chn,1,12000,11796,6811,0.5571112091835718,0.5477187398342436,0.5051643439196968,0.5207063015039843,0.4943542223441387,0.500432507910967
esmfold_end_C_A_ipSAE_d0chn_max,1,12000,11796,6811,0.5140947994999967,0.5530020983520227,0.5142263459075734,0.525064139175211,0.5051130679487967,0.5125018305987123
esmfold_end_C_B_ipSAE_d0chn_max,1,12000,11796,6811,0.5456020319284038,0.679552311316566,0.5465993413771254,0.5779148195490766,0.5182920148136316,0.5435911897686678
esmfold_end_C_A_lis_score,1,12000,11796,6811,0.5193543507603109,0.511841647391153,0.49872668146059623,0.49935906152828025,0.4987529596591275,0.4980680231943809
esmfold_end_C_B_lis_score,1,12000,11796,6811,0.6057455917260088,0.682372767988299,0.5371783632290856,0.5592260690618002,0.5016312124870319,0.5506778081384247
esmfold_end_C_A_lis_score_max,1,12000,11796,6811,0.5194193860996417,0.677802310175277,0.5463546145567874,0.5782538732809341,0.5126601263842447,0.5481498440051832
esmfold_end_C_B_lis_score_max,1,12000,11796,6811,0.5875616692930139,0.735380359254242,0.5711733885344451,0.6138762725846953,0.4981084609695374,0.6015354320491028
esmfold_end_C_A_pdockq,1,12000,11796,6811,0.5291838293472696,0.5380648773511844,0.49927561297817585,0.4514763342308285,0.521051630498735,0.5252988742049641
esmfold_end_C_B_pdockq,1,12000,11796,6811,0.5249224562663315,0.5498799437513834,0.530782962523894,0.5388483958406991,0.5304091110239176,0.5230913807070652
esmfold_end_C_A_pdockq_max,1,12000,11796,6811,0.5291838293472696,0.5380648773511844,0.49927561297817585,0.4514763342308285,0.521051630498735,0.5252988742049641
boltz_rosetta_A_BC_delta_unsatHbonds,1,12000,11796,6811,0.4800946149907912,0.5022325528928585,0.5100117358617874,0.5306050386648173,0.5100462511241592,0.48938391779638557
boltz_rosetta_A_BC_hbond_E_fraction,1,12000,11796,6811,0.5160313150353394,0.5616952015936224,0.5087694176509403,0.4744712484248506,0.5212668170561245,0.5305701874718458
boltz_rosetta_A_BC_hbonds_int,1,12000,11796,6811,0.5535990930790764,0.6107909103908408,0.5268817403474065,0.488293127362724,0.5398337228103924,0.5525183708691034
